x,y,z
765894.3675,2633472.568,0
765913.6539,2633465.541,0
765933.0405,2633458.442,0
765952.5264,2633451.272,0
765972.1107,2633444.032,0
765991.7928,2633436.722,0
766011.5715,2633429.343,0
766031.4459,2633421.895,0
766051.415,2633414.379,0
766071.4776,2633406.796,0
766091.632,2633399.147,0
766111.877,2633391.431,0
766132.2108,2633383.651,0
766152.6309,2633375.808,0
766173.1341,2633367.9,0
766193.7166,2633359.931,0
766214.3732,2633351.898,0
766235.0944,2633343.803,0
766255.8674,2633335.644,0
766276.6802,2633327.419,0
766297.5207,2633319.126,0
766318.3773,2633310.763,0
766339.2385,2633302.325,0.043121
766360.0938,2633293.81,0.025555
766380.9327,2633285.213,0
766401.7452,2633276.531,0.034484
766422.5213,2633267.761,0.053485
766443.2511,2633258.899,0
766463.9249,2633249.942,0
766484.5328,2633240.885,0
766505.0652,2633231.725,0
766525.5134,2633222.46,0
766545.8685,2633213.085,0
766566.1218,2633203.597,0
766586.265,2633193.993,0
766606.2891,2633184.271,0
766626.1853,2633174.426,0
766645.9449,2633164.459,0
766665.5593,2633154.365,0
766685.0196,2633144.143,0
766704.3177,2633133.791,0
766723.446,2633123.308,0
766742.3965,2633112.693,0
766761.1614,2633101.944,0
766779.7346,2633091.061,0
766798.1107,2633080.044,0
766816.2854,2633068.893,0
766834.2558,2633057.61,0
766852.0215,2633046.195,0
766869.5907,2633034.65,0
766886.9801,2633022.973,0
766904.2088,2633011.168,0
766921.2958,2632999.24,0
766938.2593,2632987.195,0
766955.1166,2632975.041,0
766971.8853,2632962.786,0
766988.5825,2632950.438,0
767005.2255,2632938.008,0
767021.831,2632925.504,0
767038.4154,2632912.937,0
767054.9952,2632900.319,0
767071.5868,2632887.658,0
767088.2065,2632874.968,0
767104.8708,2632862.259,0
767121.5961,2632849.542,0
767138.3983,2632836.831,0
767155.2931,2632824.139,0
767172.2963,2632811.478,0
767189.4235,2632798.862,0
767206.6907,2632786.305,0
767224.1131,2632773.822,0
767241.7055,2632761.429,0
767259.4827,2632749.141,0
767277.4585,2632736.974,0
767295.646,2632724.945,0
767314.0574,2632713.071,0
767332.7037,2632701.369,0
767351.5942,2632689.856,0
767370.7359,2632678.55,0
767390.1331,2632667.466,0
767409.7883,2632656.62,0
767429.7025,2632646.019,0
767449.8756,2632635.667,0
767470.3058,2632625.56,0
767490.9907,2632615.692,0
767511.9282,2632606.054,0
767533.1179,2632596.633,0
767554.5604,2632587.416,0.000001
767576.2569,2632578.388,0.000003
767598.2093,2632569.534,0.000006
767620.4208,2632560.838,0.000012
767642.8957,2632552.283,0.000024
767665.6389,2632543.851,0.000045
767688.6564,2632535.526,0.000078
767711.9543,2632527.29,0.000126
767735.5395,2632519.127,0.000191
767759.4197,2632511.018,0.000273
767783.603,2632502.946,0.000366
767808.0974,2632494.894,0.000458
767832.9121,2632486.845,0.000528
767858.0566,2632478.782,0.00055
767883.5404,2632470.688,0.000508
767909.3747,2632462.546,0.000403
767935.5704,2632454.339,0.000298
767962.1387,2632446.05,0.000322
767989.0921,2632437.662,0.000543
768016.444,2632429.159,0.001163
768044.2085,2632420.523,0.002479
768072.4005,2632411.739,0.004748
768101.0364,2632402.789,0.00821
768130.1353,2632393.659,0.013066
768159.7192,2632384.331,0.019465
768189.8107,2632374.793,0.027485
768220.4204,2632365.043,0.037074
768251.5452,2632355.091,0.048018
768283.1782,2632344.954,0.060043
768315.3123,2632334.652,0.072945
768347.939,2632324.21,0.086519
768381.0476,2632313.652,0.100453
768414.6271,2632303.004,0.11442
768448.6657,2632292.295,0.128065
768483.1515,2632281.553,0.14095
768518.0722,2632270.806,0.152644
768553.4154,2632260.085,0.162844
768589.1695,2632249.42,0.171325
768625.3217,2632238.842,0.177903
768661.8594,2632228.381,0.182417
768698.7713,2632218.071,0.18475
768736.0444,2632207.943,0.184854
768773.6646,2632198.032,0.182733
768811.6208,2632188.37,0.178443
768849.9014,2632178.992,0.172103
768888.4923,2632169.931,0.163912
768927.3796,2632161.224,0.154201
768966.5489,2632152.906,0.143521
769005.986,2632145.015,0.132468
769045.6729,2632137.588,0.121494
769085.5895,2632130.663,0.111178
769125.7151,2632124.28,0.102521
769166.0232,2632118.477,0.096948
769206.4845,2632113.294,0.0986
769247.0645,2632108.766,0.106518
769287.7195,2632104.931,0.118111
769328.399,2632101.818,0.131181
769369.0463,2632099.444,0.14393
769409.6062,2632097.808,0.156769
769450.0322,2632096.889,0.169171
769490.2844,2632096.655,0.179147
769530.3321,2632097.067,0.193143
769570.1509,2632098.086,0.211006
769609.7203,2632099.67,0.232489
769649.0241,2632101.775,0.256925
769688.0494,2632104.359,0.283613
769726.7863,2632107.379,0.312505
769765.2269,2632110.793,0.343273
769803.3648,2632114.56,0.37528
769841.1955,2632118.639,0.408131
769878.7166,2632122.991,0.441479
769915.9261,2632127.576,0.474986
769952.8214,2632132.356,0.508214
769989.4014,2632137.296,0.540697
770025.6654,2632142.357,0.572048
770061.6138,2632147.506,0.601869
770097.2479,2632152.706,0.629892
770132.5652,2632157.926,0.655976
770167.5656,2632163.129,0.680172
770202.2499,2632168.285,0.702644
770236.6173,2632173.36,0.723554
770270.667,2632178.324,0.743032
770304.3989,2632183.144,0.7612
770337.8131,2632187.791,0.778095
770370.9108,2632192.236,0.793741
770403.695,2632196.452,0.80818
770436.1677,2632200.41,0.821405
770468.3335,2632204.088,0.833416
770500.2004,2632207.464,0.844208
770531.7816,2632210.525,0.853895
770563.0951,2632213.271,0.862755
770594.1604,2632215.707,0.871029
770624.9954,2632217.845,0.878824
770655.6129,2632219.698,0.886178
770686.0243,2632221.276,0.89315
770716.2406,2632222.595,0.899796
770746.2721,2632223.667,0.906103
770776.1269,2632224.506,0.912094
770805.8131,2632225.128,0.917822
770835.3392,2632225.548,0.923325
770864.7122,2632225.781,0.928639
770893.939,2632225.841,0.933763
770923.0281,2632225.746,0.938778
770951.9866,2632225.511,0.94377
770980.8215,2632225.151,0.949189
771009.5394,2632224.684,0.954799
771038.1473,2632224.126,0.959941
771066.6547,2632223.492,0.964721
771095.0681,2632222.802,0.969289
771123.3918,2632222.073,0.973785
771151.6331,2632221.322,0.978169
771179.7985,2632220.566,0.982301
771207.8929,2632219.825,0.986179
771235.9219,2632219.117,0.989803
771263.8892,2632218.461,0.99319
771291.7984,2632217.874,0.996379
