lat,longitude,magnitude of bed shear stress (N/m^2)
24.24630000000,89.70410000000,1.12E-25
24.24010000000,89.70510000000,1.59E-25
24.23440000000,89.70550000000,1.33E-25
24.22880000000,89.70440000000,5.09E-26
24.22280000000,89.70170000000,6.43E-26
24.21600000000,89.69830000000,2.71E-26
24.19270000000,89.69370000000,0.002595628
24.18640000000,89.69470000000,0.009596684
24.18170000000,89.69640000000,0.027249492
24.17800000000,89.69770000000,0.053362683
24.17440000000,89.69750000000,0.062361053
24.17000000000,89.69550000000,0.049094689
24.16500000000,89.69190000000,0.034177019
24.15930000000,89.68740000000,0.024115775
24.15290000000,89.68250000000,0.018210402
24.14550000000,89.67810000000,0.016148075
24.13720000000,89.67490000000,0.01781236
24.12840000000,89.67320000000,0.022814961
24.11970000000,89.67300000000,0.029188683
24.11150000000,89.67380000000,0.035793719
24.10400000000,89.67500000000,0.041975905
24.09690000000,89.67570000000,0.043172337
24.08960000000,89.67480000000,0.036488401
24.08150000000,89.67210000000,0.027719354
24.07270000000,89.66790000000,0.02232957
24.06300000000,89.66300000000,0.019718624
24.05270000000,89.65810000000,0.018341394
24.04210000000,89.65450000000,0.017285088
24.03170000000,89.65300000000,0.018175479
24.02240000000,89.65370000000,0.022736496
24.01460000000,89.65540000000,0.030523109
24.00840000000,89.65680000000,0.03907751
24.00330000000,89.65740000000,0.043465747
23.99900000000,89.65720000000,0.040772375
23.99460000000,89.65620000000,0.033589956
23.99010000000,89.65480000000,0.026126031
23.98530000000,89.65300000000,0.019959068
23.98020000000,89.65110000000,0.015205449
23.97480000000,89.64940000000,0.011865341
23.96900000000,89.64830000000,0.010084388
23.96300000000,89.64820000000,0.010192401
23.95720000000,89.64900000000,0.012137461
23.95150000000,89.65050000000,0.015210435
23.94600000000,89.65200000000,0.018359669
23.94070000000,89.65330000000,0.020934397
23.93530000000,89.65460000000,0.02319519
23.92990000000,89.65570000000,0.025533382
23.92430000000,89.65680000000,0.027821166
23.91870000000,89.65770000000,0.029489638
23.91300000000,89.65850000000,0.030059258
23.90730000000,89.65920000000,0.029882323
23.90170000000,89.66000000000,0.029853153
23.89640000000,89.66100000000,0.03024337
23.89130000000,89.66220000000,0.030918328
23.88630000000,89.66370000000,0.031964529
23.88120000000,89.66560000000,0.0334777
23.87590000000,89.66770000000,0.035153284
23.87070000000,89.66990000000,0.036213047
23.86550000000,89.67200000000,0.036003824
23.86050000000,89.67390000000,0.034552029
23.85540000000,89.67590000000,0.03216603
23.85030000000,89.67780000000,0.028678026
23.84530000000,89.67980000000,0.024039491
23.84030000000,89.68170000000,0.011126879
23.83120000000,89.68520000000,3.98E-27
23.82700000000,89.68680000000,4.20E-27
25.82960000000,89.74370000000,8.41E-26
25.82740000000,89.74310000000,7.25E-27
25.82510000000,89.74260000000,1.53E-25
25.82270000000,89.74220000000,1.47E-25
25.82050000000,89.74190000000,1.12E-25
25.81840000000,89.74150000000,2.90E-25
25.81650000000,89.74120000000,1.99E-25
25.81470000000,89.74080000000,7.19E-26
25.81300000000,89.74040000000,4.16E-25
25.81140000000,89.73990000000,7.52E-26
25.80960000000,89.73930000000,3.55E-26
25.80790000000,89.73870000000,9.51E-26
25.80620000000,89.73810000000,3.39E-26
25.79610000000,89.73620000000,2.47E-10
25.79450000000,89.73640000000,1.43E-08
25.79310000000,89.73660000000,4.06E-08
25.79160000000,89.73700000000,5.79E-09
25.79020000000,89.73740000000,2.28E-09
25.78880000000,89.73770000000,1.66E-08
25.78740000000,89.73810000000,2.25E-08
25.78590000000,89.73840000000,7.19E-09
25.78430000000,89.73860000000,1.17E-08
25.78280000000,89.73880000000,2.28E-09
25.78130000000,89.73870000000,1.72E-09
25.77990000000,89.73850000000,1.51E-08
25.77840000000,89.73810000000,1.59E-08
25.77690000000,89.73740000000,2.13E-08
25.77550000000,89.73660000000,2.77E-08
25.77400000000,89.73580000000,1.23E-08
25.77260000000,89.73500000000,5.19E-09
25.77120000000,89.73440000000,3.47E-08
25.76980000000,89.73380000000,2.80E-08
25.76850000000,89.73330000000,1.64E-08
25.76700000000,89.73290000000,4.55E-10
25.76560000000,89.73250000000,3.21E-08
25.76420000000,89.73200000000,2.49E-09
25.76280000000,89.73150000000,2.54E-08
25.76150000000,89.73100000000,1.94E-08
25.76020000000,89.73040000000,2.70E-08
25.75890000000,89.72980000000,2.82E-08
25.75750000000,89.72900000000,7.88E-10
25.75610000000,89.72820000000,2.72E-08
25.75460000000,89.72720000000,1.40E-08
25.75300000000,89.72610000000,5.98E-09
25.74670000000,89.72250000000,1.14E-25
25.74490000000,89.72160000000,1.88E-25
25.74270000000,89.72040000000,2.47E-25
25.74020000000,89.71880000000,7.28E-26
25.73790000000,89.71690000000,1.81E-26
25.73600000000,89.71490000000,7.54E-26
25.73440000000,89.71310000000,2.11E-25
25.73290000000,89.71130000000,5.26E-26
25.73090000000,89.70950000000,1.80E-25
25.72840000000,89.70780000000,1.18E-25
25.72580000000,89.70640000000,1.29E-25
25.72360000000,89.70570000000,1.99E-25
25.72180000000,89.70530000000,9.01E-26
25.72020000000,89.70510000000,1.00E-24
25.71880000000,89.70500000000,6.67E-25
25.71740000000,89.70490000000,3.90E-25
25.71590000000,89.70480000000,5.42E-25
25.71450000000,89.70470000000,1.97E-25
25.71290000000,89.70470000000,4.56E-25
25.71140000000,89.70460000000,8.28E-25
25.71000000000,89.70440000000,1.04E-24
25.70850000000,89.70410000000,2.40E-24
25.70700000000,89.70380000000,7.98E-25
25.70550000000,89.70330000000,3.29E-25
25.70380000000,89.70280000000,1.18E-25
25.70220000000,89.70230000000,1.77E-25
25.70050000000,89.70180000000,2.31E-25
25.69900000000,89.70130000000,1.09E-25
